Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
97,97,[6512.02292458],[0.06889456],[66391.37528663],[2.73587695],[-0.88372511],[-0.08837251]
98,98,[6501.54451276],[0.06980455],[66839.66339538],[2.70248118],[-0.86937971],[-0.08693797]
99,99,[6491.37141827],[0.07067419],[67293.13230152],[2.66709188],[-0.85573502],[-0.0855735]
100,100,[6481.52385729],[0.07149947],[67751.52286611],[2.63018274],[-0.84277644],[-0.08427764]
101,101,[6472.01744211],[0.07227716],[68214.55362255],[2.59219231],[-0.83048772],[-0.08304877]
102,102,[6462.86351598],[0.07300474],[68681.92549743],[2.55352125],[-0.81885103],[-0.0818851]
103,103,[6454.06951568],[0.07368035],[69153.32618708],[2.51453078],[-0.80784715],[-0.08078472]
104,104,[6445.63934994],[0.07430274],[69628.43416116],[2.47554223],[-0.79745571],[-0.07974557]
105,105,[6437.57378334],[0.07487121],[70106.9222774],[2.43683743],[-0.78765531],[-0.07876553]
106,106,[6429.87081672],[0.07538553],[70588.46100272],[2.39865996],[-0.77842379],[-0.07784238]
107,107,[6422.52605685],[0.07584593],[71072.72124532],[2.36121687],[-0.76973841],[-0.07697384]
108,108,[6415.53306929],[0.076253],[71559.37680993],[2.32468095],[-0.76157607],[-0.07615761]
109,109,[6408.88371035],[0.07660764],[72048.10649417],[2.28877644],[-0.75382372],[-0.07538237]
110,110,[6402.57252248],[0.07691043],[72538.59584869],[2.2537188],[-0.74648754],[-0.07464875]
111,111,[6396.59192244],[0.07716229],[73030.53510184],[2.22002826],[-0.73963699],[-0.0739637]
112,112,[6390.92920791],[0.07736498],[73523.62116454],[2.18776262],[-0.7332451],[-0.07332451]
113,113,[6385.57108208],[0.07752037],[74017.56222405],[2.15695688],[-0.72728564],[-0.07272856]
114,114,[6380.50387594],[0.07763041],[74512.07840059],[2.1276265],[-0.72173316],[-0.07217332]
115,115,[6375.71373911],[0.07769714],[75006.90218012],[2.09977047],[-0.7165631],[-0.07165631]
116,116,[6371.18680142],[0.07772262],[75501.77865544],[2.07337396],[-0.71175187],[-0.07117519]
117,117,[6366.90930794],[0.07770892],[75996.46560486],[2.0484109],[-0.70727686],[-0.07072769]
118,118,[6362.86772995],[0.07765808],[76490.73343507],[2.0248461],[-0.70311649],[-0.07031165]
119,119,[6359.04885463],[0.07757213],[76984.36501232],[2.00263726],[-0.69925022],[-0.06992502]
120,120,[6355.43985577],[0.07745304],[77477.1554031],[1.98173659],[-0.69565852],[-0.06956585]
121,121,[6352.02834815],[0.07730274],[77968.91154303],[1.96209236],[-0.69232294],[-0.06923229]
122,122,[6348.80242762],[0.07712308],[78459.45185034],[1.94365006],[-0.689226],[-0.0689226]
123,123,[6345.75069895],[0.07691584],[78948.60579795],[1.92635352],[-0.68635126],[-0.06863513]
124,124,[6342.86229346],[0.07668275],[79436.21345612],[1.91014578],[-0.68368322],[-0.06836832]
125,125,[6340.12687792],[0.07642542],[79922.12501602],[1.89496983],[-0.68120732],[-0.06812073]
126,126,[6337.53465626],[0.07614541],[80406.2003025],[1.88076917],[-0.67890992],[-0.06789099]
127,127,[6335.07636544],[0.0758442],[80888.30828338],[1.86748836],[-0.67677823],[-0.06767782]
128,128,[6332.74326659],[0.07552318],[81368.32658084],[1.85507335],[-0.6748003],[-0.06748003]
129,129,[6330.52713233],[0.07518367],[81846.14098974],[1.84347177],[-0.67296496],[-0.0672965]
130,130,[6328.42023126],[0.07482691],[82321.64500645],[1.83263319],[-0.67126178],[-0.06712618]
131,131,[6326.41531027],[0.07445406],[82794.73937123],[1.82250923],[-0.66968106],[-0.06696811]
132,132,[6324.50557518],[0.07406622],[83265.33162613],[1.81305371],[-0.66821376],[-0.06682138]
133,133,[6322.68467047],[0.07366442],[83733.33569026],[1.80422266],[-0.66685146],[-0.06668515]
134,134,[6320.94665827],[0.07324961],[84198.67145327],[1.79597439],[-0.66558633],[-0.06655863]
135,135,[6319.28599713],[0.07282269],[84661.2643879],[1.78826943],[-0.66441113],[-0.06644111]
