Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
535,535,[5274.32792713],[-0.03001767],[50434.8755385],[1.67688917],[-1.7725688],[-0.17725688]
536,536,[5272.00491997],[-0.03074046],[50276.57628889],[1.76951693],[-1.79487285],[-0.17948728]
537,537,[5268.76959895],[-0.03123704],[50114.53793522],[1.87917263],[-1.81757626],[-0.18175763]
538,538,[5264.45354635],[-0.03147245],[49949.98392432],[2.00547065],[-1.84039165],[-0.18403916]
539,539,[5258.89186706],[-0.03141316],[49784.32602481],[2.14686829],[-1.86298272],[-0.18629827]
540,540,[5251.93454103],[-0.03102942],[49619.15478692],[2.30048286],[-1.88497093],[-0.18849709]
541,541,[5243.45958793],[-0.03029795],[49456.21644928],[2.46203215],[-1.90594763],[-0.19059476]
542,542,[5233.38683526],[-0.02920468],[49297.37467345],[2.6259498],[-1.92549162],[-0.19254916]
543,543,[5221.69057682],[-0.02774723],[49144.55702393],[2.78570239],[-1.94319117],[-0.19431912]
544,544,[5208.40914033],[-0.02593679],[48999.68815227],[2.93429539],[-1.9586686],[-0.19586686]
545,545,[5193.64950889],[-0.02379893],[48864.61386812],[3.06490785],[-1.97160464],[-0.19716046]
546,546,[5177.58572479],[-0.02137325],[48741.02221486],[3.17155806],[-1.98175942],[-0.19817594]
547,547,[5160.45076303],[-0.01871169],[48630.36880771],[3.24968685],[-1.98898717],[-0.19889872]
548,548,[5142.52267262],[-0.01587578],[48533.81367277],[3.2965596],[-1.99324293],[-0.19932429]
549,549,[5124.10675344],[-0.01293297],[48452.17556737],[3.31142859],[-1.99458051],[-0.19945805]
550,550,[5105.51611417],[-0.00995273],[48385.90751471],[3.29544882],[-1.99314265],[-0.19931427]
551,551,[5087.05302508],[-0.00700264],[48335.09455032],[3.25138875],[-1.98914538],[-0.19891454]
552,552,[5068.99307926],[-0.00414506],[48299.47203508],[3.18320772],[-1.98285897],[-0.1982859]
553,553,[5051.57347267],[-0.00143449],[48278.46082594],[3.09558167],[-1.97458818],[-0.19745882]
554,554,[5034.98591743],[0.00108405],[48271.21438182],[2.99344887],[-1.96465377],[-0.19646538]
555,555,[5019.37399855],[0.00337586],[48276.67255476],[2.88162678],[-1.95337673],[-0.19533767]
556,556,[5004.83428332],[0.0054165],[48293.61722106],[2.76452683],[-1.94106603],[-0.1941066]
557,557,[4991.42022959],[0.0071912],[48320.72579448],[2.64597225],[-1.9280099],[-0.19280099]
558,558,[4979.1478861],[0.00869372],[48356.61976988],[2.52910901],[-1.91447045],[-0.19144704]
559,559,[4968.00247524],[0.00992513],[48399.90655311],[2.41639121],[-1.90068096],[-0.1900681]
560,560,[4957.94512899],[0.01089231],[48449.21379845],[2.30961971],[-1.88684534],[-0.18868453]
561,561,[4948.91925651],[0.01160667],[48503.21622523],[2.21001411],[-1.87313902],[-0.1873139]
562,562,[4940.85621634],[0.0120828],[48560.65540731],[2.1183013],[-1.85971088],[-0.18597109]
563,563,[4933.68012857],[0.01233744],[48620.35334437],[2.03480854],[-1.84668569],[-0.18466857]
564,564,[4927.31178228],[0.0123885],[48681.22077362],[1.95955254],[-1.83416682],[-0.18341668]
565,565,[4921.67167566],[0.01225436],[48742.26120922],[1.89231967],[-1.82223894],[-0.18222389]
566,566,[4916.68227438],[0.01195329],[48802.57164587],[1.83273489],[-1.81097069],[-0.18109707]
567,567,[4912.26959729],[0.011503],[48861.34076632],[1.7803189],[-1.80041699],[-0.1800417]
568,568,[4908.36424481],[0.01092041],[48917.84537426],[1.73453391],[-1.7906213],[-0.17906213]
569,569,[4904.90198006],[0.0102214],[48971.44565195],[1.69481921],[-1.78161743],[-0.17816174]
570,570,[4901.82396162],[0.00942075],[49021.57972592],[1.66061815],[-1.77343126],[-0.17734313]
571,571,[4899.07671282],[0.00853213],[49067.75792035],[1.6313978],[-1.76608206],[-0.17660821]
572,572,[4896.61189758],[0.00756807],[49109.55698878],[1.60666292],[-1.75958368],[-0.17595837]
573,573,[4894.38595933],[0.00654005],[49146.61454062],[1.58596536],[-1.75394552],[-0.17539455]
574,574,[4892.35966686],[0.00545856],[49178.62381926],[1.56891006],[-1.74917324],[-0.17491732]
575,575,[4890.49760089],[0.00433326],[49205.32894114],[1.55515845],[-1.74526939],[-0.17452694]
576,576,[4888.76760635],[0.00317301],[49226.52066842],[1.54442999],[-1.74223377],[-0.17422338]
577,577,[4887.14022884],[0.00198606],[49242.0327601],[1.53650228],[-1.74006379],[-0.17400638]
578,578,[4885.58814858],[0.00078014],[49251.73892497],[1.53121031],[-1.73875453],[-0.17387545]
579,579,[4884.0856217],[-0.00043741],[49255.55038412],[1.52844479],[-1.73829882],[-0.17382988]
580,580,[4882.60793633],[-0.00165953],[49253.41403839],[1.52814992],[-1.73868708],[-0.17386871]
581,581,[4881.13089001],[-0.00287929],[49245.31122573],[1.53032048],[-1.73990716],[-0.17399072]
582,582,[4879.63029475],[-0.00408984],[49231.25704494],[1.53499821],[-1.741944],[-0.1741944]
583,583,[4878.08151688],[-0.00528423],[49211.30021277],[1.54226729],[-1.74477918],[-0.17447792]
584,584,[4876.45906055],[-0.00645541],[49185.52341166],[1.55224871],[-1.74839047],[-0.17483905]
585,585,[4874.73620586],[-0.00759608],[49154.04407324],[1.56509322],[-1.75275121],[-0.17527512]
586,586,[4872.88471536],[-0.00869867],[49117.01552871],[1.5809726],[-1.75782965],[-0.17578297]
587,587,[4870.87462586],[-0.00975529],[49074.6284398],[1.60006898],[-1.76358829],[-0.17635883]
588,588,[4868.67414492],[-0.01075772],[49027.11240364],[1.62256183],[-1.76998316],[-0.17699832]
589,589,[4866.24967433],[-0.01169742],[48974.73760199],[1.64861269],[-1.77696316],[-0.17769632]
590,590,[4863.56598363],[-0.01256561],[48917.81634006],[1.67834759],[-1.78446943],[-0.17844694]
591,591,[4860.5865564],[-0.01335332],[48856.70429459],[1.71183744],[-1.7924349],[-0.17924349]
592,592,[4857.27412906],[-0.01405156],[48791.80126718],[1.74907717],[-1.80078402],[-0.1800784]
593,593,[4853.59143519],[-0.0146515],[48723.55121989],[1.78996457],[-1.80943266],[-0.18094327]
594,594,[4849.50215832],[-0.01514467],[48652.44136024],[1.83428038],[-1.8182885],[-0.18182885]
595,595,[4844.97208168],[-0.01552326],[48579.00004582],[1.88167135],[-1.82725167],[-0.18272517]
596,596,[4839.97040517],[-0.01578041],[48503.79329979],[1.93163858],[-1.83621588],[-0.18362159]
597,597,[4834.47117897],[-0.01591053],[48427.41977099],[1.98353318],[-1.84507005],[-0.18450701]
598,598,[4828.45478165],[-0.01590965],[48350.50403885],[2.03656125],[-1.85370033],[-0.18537003]
599,599,[4821.9093512],[-0.01577574],[48273.68825344],[2.08979974],[-1.86199263],[-0.18619926]
600,600,[4814.83206324],[-0.01550898],[48197.62221119],[2.14222344],[-1.8698354],[-0.18698354]
601,601,[4807.23014561],[-0.01511196],[48122.95208997],[2.19274271],[-1.87712269],[-0.18771227]
602,602,[4799.12152459],[-0.01458986],[48050.30819203],[2.24024989],[-1.88375719],[-0.18837572]
603,603,[4790.53501733],[-0.01395045],[47980.29215611],[2.28367108],[-1.8896532],[-0.18896532]
604,604,[4781.51001602],[-0.01320401],[47913.46418685],[2.32201933],[-1.89473923],[-0.18947392]
605,605,[4772.09565018],[-0.01236313],[47850.33089673],[2.35444462],[-1.89896008],[-0.18989601]
606,606,[4762.34945814],[-0.01144239],[47791.33435462],[2.38027601],[-1.90227833],[-0.19022783]
607,607,[4752.33564235],[-0.01045796],[47736.84288263],[2.39905256],[-1.90467507],[-0.19046751]
608,608,[4742.12301945],[-0.00942713],[47687.1440428],[2.41054045],[-1.90614987],[-0.19061499]
609,609,[4731.78279948],[-0.00836775],[47642.44011728],[2.41473541],[-1.90672004],[-0.190672]
610,610,[4721.38633803],[-0.00729774],[47602.8462266],[2.41185119],[-1.90641922],[-0.19064192]
611,611,[4711.00299812],[-0.00623459],[47568.39106555],[2.40229607],[-1.90529548],[-0.19052955]
612,612,[4700.69823959],[-0.00519484],[47539.0200844],[2.38664032],[-1.90340907],[-0.19034091]
613,613,[4690.53202429],[-0.00419375],[47514.60081688],[2.36557825],[-1.90082991],[-0.19008299]
614,614,[4680.55759202],[-0.00324495],[47494.92996571],[2.33988802],[-1.89763511],[-0.18976351]
615,615,[4670.82062799],[-0.00236026],[47479.74180458],[2.31039263],[-1.89390651],[-0.18939065]
616,616,[4661.35881228],[-0.00154953],[47468.71744222],[2.27792429],[-1.88972837],[-0.18897284]
617,617,[4652.20171751],[-0.0008206],[47461.49451308],[2.24329407],[-1.88518544],[-0.18851854]
618,618,[4643.37100434],[-0.00017933],[47457.67690398],[2.20726769],[-1.88036117],[-0.18803612]
619,619,[4634.88085468],[0.0003703],[47456.84418743],[2.17054772],[-1.87533636],[-0.18753364]
620,620,[4626.7385801],[0.00082611],[47458.56050234],[2.13376191],[-1.87018799],[-0.1870188]
621,621,[4618.94534517],[0.00118748],[47462.38269402],[2.09745714],[-1.86498849],[-0.18649885]
622,622,[4611.49695194],[0.00145523],[47467.86759306],[2.06209789],[-1.8598051],[-0.18598051]
623,623,[4604.38463986],[0.0016314],[47474.57837181],[2.02806849],[-1.85469958],[-0.18546996]
624,624,[4597.59586523],[0.00171908],[47482.08996716],[1.99567808],[-1.84972801],[-0.1849728]
625,625,[4591.11503328],[0.0017222],[47489.99359704],[1.96516737],[-1.84494077],[-0.18449408]
626,626,[4584.92416457],[0.0016454],[47497.90042712],[1.93671656],[-1.84038263],[-0.18403826]
627,627,[4579.00348503],[0.00149384],[47505.44446301],[1.91045373],[-1.8360929],[-0.18360929]
628,628,[4573.33193477],[0.00127309],[47512.28475491],[1.88646314],[-1.83210563],[-0.18321056]
629,629,[4567.88759587],[0.00098901],[47518.1070062],[1.86479321],[-1.82844986],[-0.18284499]
630,630,[4562.64804272],[0.00064765],[47522.62467671],[1.84546386],[-1.82514986],[-0.18251499]
631,631,[4557.59062097],[0.00025518],[47525.57966759],[1.82847304],[-1.82222537],[-0.18222254]
632,632,[4552.69266294],[-0.00018219],[47526.74266737],[1.81380235],[-1.81969183],[-0.18196918]
633,633,[4547.93164794],[-0.00065823],[47525.91323035],[1.80142177],[-1.81756063],[-0.18175606]
634,634,[4543.28531675],[-0.00116677],[47522.91964873],[1.79129342],[-1.81583926],[-0.18158393]
635,635,[4538.73174906],[-0.0017017],[47517.61866985],[1.78337449],[-1.8145315],[-0.18145315]
636,636,[4534.24941286],[-0.002257],[47509.89509979],[1.7776192],[-1.81363755],[-0.18136375]
637,637,[4529.81719398],[-0.00282673],[47499.66132481],[1.77398008],[-1.81315418],[-0.18131542]
638,638,[4525.41441381],[-0.0034051],[47486.85677255],[1.7724084],[-1.81307481],[-0.18130748]
639,639,[4521.02084224],[-0.00398642],[47471.44732641],[1.77285399],[-1.81338959],[-0.18133896]
640,640,[4516.61671262],[-0.00456515],[47453.42469806],[1.77526448],[-1.81408552],[-0.18140855]
641,641,[4512.18274448],[-0.00513589],[47432.80575597],[1.77958394],[-1.81514644],[-0.18151464]
642,642,[4507.70017917],[-0.00569341],[47409.63180113],[1.78575113],[-1.81655321],[-0.18165532]
643,643,[4503.15083271],[-0.00623265],[47383.96777557],[1.79369747],[-1.8182837],[-0.18182837]
644,644,[4498.51716905],[-0.00674878],[47355.90138492],[1.8033447],[-1.82031297],[-0.1820313]
645,645,[4493.78239596],[-0.00723718],[47325.54211256],[1.81619462],[-1.8229071],[-0.18229071]
646,646,[4488.91497056],[-0.00768913],[47293.02010127],[1.83115179],[-1.82584183],[-0.18258418]
647,647,[4483.89405043],[-0.00809898],[47258.50458861],[1.84762501],[-1.82899449],[-0.18289945]
648,648,[4478.70456342],[-0.0084627],[47222.19002583],[1.86544436],[-1.8323235],[-0.18323235]
649,649,[4473.33308418],[-0.00877676],[47184.28854128],[1.88441369],[-1.83578513],[-0.18357851]
650,650,[4467.76809409],[-0.00903818],[47145.02766319],[1.90431001],[-1.83933403],[-0.1839334]
651,651,[4462.00024665],[-0.00924457],[47104.64774039],[1.92488433],[-1.84292379],[-0.18429238]
652,652,[4456.02262582],[-0.00939425],[47063.39906246],[1.9458638],[-1.84650753],[-0.18465075]
653,653,[4449.83098339],[-0.00948626],[47021.53869544],[1.96695538],[-1.85003869],[-0.18500387]
654,654,[4443.42394041],[-0.00952044],[46979.3270661],[1.98785105],[-1.8534717],[-0.18534717]
655,655,[4436.80313805],[-0.00949744],[46937.0243444],[2.00823438],[-1.85676281],[-0.18567628]
656,656,[4429.97332415],[-0.00941876],[46894.88669036],[2.02778825],[-1.85987087],[-0.18598709]
657,657,[4422.94236414],[-0.00928673],[46853.16244665],[2.04620337],[-1.86275806],[-0.18627581]
658,658,[4415.72116824],[-0.0091045],[46812.0883693],[2.06318722],[-1.86539064],[-0.18653906]
659,659,[4408.3235311],[-0.00887599],[46771.88599716],[2.07847286],[-1.86773954],[-0.18677395]
660,660,[4400.76588469],[-0.00860584],[46732.75826267],[2.09182717],[-1.86978089],[-0.18697809]
661,661,[4393.0669703],[-0.00829928],[46694.88644388],[2.10305791],[-1.8714964],[-0.18714964]
662,662,[4385.24744012],[-0.00796208],[46658.42754838],[2.11201942],[-1.87287363],[-0.18728736]
663,663,[4377.3294032],[-0.00760039],[46623.51220622],[2.11861641],[-1.87390606],[-0.18739061]
664,664,[4369.33593336],[-0.0072206],[46590.24313009],[2.12280574],[-1.87459305],[-0.18745931]
665,665,[4361.29055867],[-0.00682926],[46558.69417977],[2.12459621],[-1.87493964],[-0.18749396]
666,666,[4353.2167527],[-0.00643288],[46528.91004419],[2.12404638],[-1.87495619],[-0.18749562]
667,667,[4345.13744639],[-0.00603784],[46500.90653163],[2.1212606],[-1.87465796],[-0.1874658]
668,668,[4337.07457797],[-0.00565027],[46474.67143639],[2.11638369],[-1.87406456],[-0.18740646]
669,669,[4329.04869466],[-0.0052759],[46450.16593133],[2.10959456],[-1.87319935],[-0.18731994]
670,670,[4321.07861667],[-0.00492001],[46427.32642052],[2.10109908],[-1.87208878],[-0.18720888]
671,671,[4313.18116999],[-0.00458733],[46406.06677497],[2.09112283],[-1.87076172],[-0.18707617]
672,672,[4305.37099046],[-0.004282],[46386.28086853],[2.07990391],[-1.86924883],[-0.18692488]
673,673,[4297.66039822],[-0.00400752],[46367.84532855],[2.0676861],[-1.86758187],[-0.18675819]
674,674,[4290.05933856],[-0.00376673],[46350.62241854],[2.05471275],[-1.86579314],[-0.18657931]
675,675,[4282.57538291],[-0.0035618],[46334.46297478],[2.04122147],[-1.8639149],[-0.18639149]
676,676,[4275.21378206],[-0.00339427],[46319.2093272],[2.02743971],[-1.86197889],[-0.18619789]
677,677,[4267.97756271],[-0.00326502],[46304.698144],[2.01358124],[-1.86001588],[-0.18600159]
678,678,[4260.86765831],[-0.00317435],[46290.7631502],[1.99984366],[-1.85805528],[-0.18580553]
679,679,[4253.88306526],[-0.00312201],[46277.23768071],[1.9864066],[-1.85612486],[-0.18561249]
680,680,[4247.02101623],[-0.00310722],[46263.95703904],[1.97343079],[-1.85425048],[-0.18542505]
681,681,[4240.27716324],[-0.00312874],[46250.76064201],[1.96105773],[-1.85245587],[-0.18524559]
682,682,[4233.64576447],[-0.00318493],[46237.49393933],[1.94940979],[-1.85076248],[-0.18507625]
683,683,[4227.1198695],[-0.00327377],[46224.01010385],[1.93859088],[-1.84918937],[-0.18491894]
684,684,[4220.69149942],[-0.00339296],[46210.17149414],[1.92868717],[-1.84775315],[-0.18477532]
685,685,[4214.35181895],[-0.0035399],[46195.85089531],[1.9197682],[-1.84646791],[-0.18464679]
686,686,[4208.09129884],[-0.0037118],[46180.93254701],[1.91188793],[-1.84534523],[-0.18453452]
687,687,[4201.89986768],[-0.00390571],[46165.31296982],[1.90508585],[-1.84439415],[-0.18443942]
688,688,[4195.76705312],[-0.00411853],[46148.90160192],[1.89938809],[-1.84362126],[-0.18436213]
689,689,[4189.68211265],[-0.00434708],[46131.62125846],[1.89480836],[-1.84303067],[-0.18430307]
690,690,[4183.63415502],[-0.00458814],[46113.40842537],[1.89134884],[-1.84262414],[-0.18426241]
691,691,[4177.61225317],[-0.00483846],[46094.21339893],[1.88900094],[-1.84240111],[-0.18424011]
692,692,[4171.60554998],[-0.00509481],[46074.00028073],[1.88774592],[-1.84235881],[-0.18423588]
693,693,[4165.60335806],[-0.00535402],[46052.7468372],[1.88755539],[-1.84249237],[-0.18424924]
694,694,[4159.59525458],[-0.00561298],[46030.44423084],[1.88839174],[-1.84279491],[-0.18427949]
695,695,[4153.57117229],[-0.0058687],[46007.09662981],[1.89020845],[-1.84325766],[-0.18432577]
696,696,[4147.52148713],[-0.00611832],[45982.72070128],[1.89295047],[-1.84387017],[-0.18438702]
697,697,[4141.43710314],[-0.00635914],[45957.34499354],[1.89655441],[-1.84462039],[-0.18446204]
698,698,[4135.30953437],[-0.00658863],[45931.00921147],[1.90094898],[-1.84549487],[-0.18454949]
699,699,[4129.13098367],[-0.00680449],[45903.76339034],[1.90605532],[-1.84647895],[-0.18464789]
700,700,[4122.89441759],[-0.00700464],[45875.66697323],[1.91178757],[-1.84755697],[-0.1847557]
701,701,[4116.5936363],[-0.00718726],[45846.78779849],[1.91805348],[-1.84871245],[-0.18487125]
702,702,[4110.22333721],[-0.0073508],[45817.201005],[1.92475524],[-1.84992836],[-0.18499284]
703,703,[4103.77917077],[-0.00749397],[45786.98786455],[1.93179046],[-1.8511873],[-0.18511873]
704,704,[4097.25778655],[-0.00761582],[45756.23455253],[1.93905335],[-1.85247178],[-0.18524718]
705,705,[4090.65686793],[-0.00771569],[45725.03087031],[1.94643604],[-1.85376448],[-0.18537645]
706,706,[4083.97515371],[-0.00779324],[45693.4689344],[1.95383012],[-1.85504842],[-0.18550484]
707,707,[4077.21244488],[-0.00784845],[45661.64184967],[1.96112824],[-1.8563073],[-0.18563073]
708,708,[4070.36959542],[-0.0078816],[45629.64238534],[1.96822585],[-1.85752564],[-0.18575256]
709,709,[4063.44848631],[-0.00789331],[45597.56167372],[1.97502292],[-1.85868905],[-0.18586891]
710,710,[4056.45198215],[-0.00788445],[45565.48795259],[1.98142575],[-1.85978442],[-0.18597844]
711,711,[4049.3838707],[-0.00785621],[45533.505372],[1.98734854],[-1.86080005],[-0.18608]
712,712,[4042.24878612],[-0.00781],[45501.69288583],[1.99271499],[-1.86172586],[-0.18617259]
713,713,[4035.052117],[-0.00774747],[45470.12324745],[1.9974596],[-1.86255346],[-0.18625535]
714,714,[4027.7999014],[-0.00767046],[45438.86212663],[2.00152874],[-1.86327624],[-0.18632762]
715,715,[4020.49871095],[-0.00758097],[45407.96736241],[2.00488151],[-1.86388944],[-0.18638894]
716,716,[4013.15552697],[-0.00748114],[45377.48836381],[2.00749017],[-1.86439012],[-0.18643901]
717,717,[4005.77761159],[-0.00737317],[45347.46566651],[2.00934035],[-1.8647772],[-0.18647772]
718,718,[3998.37237695],[-0.00725933],[45317.9306501],[2.01043089],[-1.86505132],[-0.18650513]
719,719,[3990.94725584],[-0.00714187],[45288.90541659],[2.01077338],[-1.86521486],[-0.18652149]
720,720,[3983.5095766],[-0.00702305],[45260.40282706],[2.01039141],[-1.86527172],[-0.18652717]
721,721,[3976.06644526],[-0.00690502],[45232.4266899],[2.00931958],[-1.86522728],[-0.18652273]
722,722,[3968.62463721],[-0.00678987],[45204.97209069],[2.00760232],[-1.86508819],[-0.18650882]
723,723,[3961.19050053],[-0.00667954],[45178.02585105],[2.00529249],[-1.8648622],[-0.18648622]
724,724,[3953.76987239],[-0.00657583],[45151.56710166],[2.00245],[-1.86455801],[-0.1864558]
725,725,[3946.36800966],[-0.00648036],[45125.56795277],[1.99914022],[-1.86418509],[-0.18641851]
726,726,[3938.98953423],[-0.00639455],[45099.99424454],[1.99543254],[-1.86375343],[-0.18637534]
727,727,[3931.63839309],[-0.00631962],[45074.80635918],[1.99139884],[-1.86327344],[-0.18632734]
728,728,[3924.31783293],[-0.00625657],[45049.96007662],[1.98711208],[-1.86275571],[-0.18627557]
729,729,[3917.03038848],[-0.0062062],[45025.40745626],[1.98264505],[-1.86221088],[-0.18622109]
730,730,[3909.77788374],[-0.00616907],[45001.09772795],[1.97806911],[-1.86164943],[-0.18616494]
731,731,[3902.56144478],[-0.00614553],[44976.97817688],[1.97345317],[-1.86108159],[-0.18610816]
732,732,[3895.38152298],[-0.00613572],[44952.99500827],[1.96886279],[-1.86051715],[-0.18605172]
733,733,[3888.23792715],[-0.00613958],[44929.09417962],[1.96435939],[-1.8599654],[-0.18599654]
734,734,[3881.1298632],[-0.00615685],[44905.22218967],[1.95999966],[-1.85943496],[-0.1859435]
735,735,[3874.05598005],[-0.0061871],[44881.32681526],[1.95583504],[-1.85893375],[-0.18589338]
736,736,[3867.0144203],[-0.00622975],[44857.3577887],[1.95191136],[-1.85846889],[-0.18584689]
737,737,[3860.00287463],[-0.00628406],[44833.26740995],[1.94826861],[-1.85804662],[-0.18580466]
738,738,[3853.01863867],[-0.00634916],[44809.01108931],[1.94494076],[-1.8576723],[-0.18576723]
739,739,[3846.05867148],[-0.00642409],[44784.54781789],[1.94195571],[-1.85735036],[-0.18573504]
740,740,[3839.1196547],[-0.00650778],[44759.84056386],[1.93933532],[-1.85708429],[-0.18570843]
741,741,[3832.19805161],[-0.0065991],[44734.85659412],[1.93709546],[-1.85687661],[-0.18568766]
742,742,[3825.2901655],[-0.00669686],[44709.5677215],[1.93524617],[-1.85672893],[-0.18567289]
743,743,[3818.39219682],[-0.00679984],[44683.95047859],[1.93379183],[-1.85664192],[-0.18566419]
744,744,[3811.50029849],[-0.0069068],[44657.9862201],[1.9327314],[-1.85661539],[-0.18566154]
745,745,[3804.61062915],[-0.0070165],[44631.66115596],[1.93205866],[-1.85664828],[-0.18566483]
746,746,[3797.71940379],[-0.00712772],[44604.96631834],[1.93176255],[-1.85673874],[-0.18567387]
747,747,[3790.82294156],[-0.00723927],[44577.89746573],[1.93182748],[-1.8568842],[-0.18568842]
748,748,[3783.91771039],[-0.00735],[44550.45492818],[1.93223365],[-1.8570814],[-0.18570814]
749,749,[3777.00036806],[-0.00745883],[44522.64339784],[1.93295752],[-1.8573265],[-0.18573265]
750,750,[3770.0677996],[-0.00756475],[44494.47166947],[1.93397217],[-1.85761512],[-0.18576151]
751,751,[3763.11715054],[-0.00766683],[44465.95233593],[1.93524776],[-1.85794245],[-0.18579424]
752,752,[3756.14585588],[-0.00776424],[44437.101444],[1.93675199],[-1.85830332],[-0.18583033]
753,753,[3749.15166451],[-0.00785625],[44407.93811622],[1.93845062],[-1.85869229],[-0.18586923]
754,754,[3742.13265878],[-0.00794223],[44378.48414464],[1.94030793],[-1.85910375],[-0.18591038]
755,755,[3735.08726916],[-0.00802168],[44348.7635627],[1.94228731],[-1.859532],[-0.1859532]
756,756,[3728.01428374],[-0.0080942],[44318.80220174],[1.94435173],[-1.85997132],[-0.18599713]
757,757,[3720.91285244],[-0.00815951],[44288.62723845],[1.94646431],[-1.86041608],[-0.18604161]
758,758,[3713.78248614],[-0.00821746],[44258.26674002],[1.94858884],[-1.86086082],[-0.18608608]
759,759,[3706.6230505],[-0.00826801],[44227.74921347],[1.95069028],[-1.86130029],[-0.18613003]
760,760,[3699.43475473],[-0.00831123],[44197.10316558],[1.95273529],[-1.86172956],[-0.18617296]
761,761,[3692.21813562],[-0.00834729],[44166.35667967],[1.95469262],[-1.86214408],[-0.18621441]
762,762,[3684.97403696],[-0.00837649],[44135.53701493],[1.95653362],[-1.86253971],[-0.18625397]
763,763,[3677.70358494],[-0.00839919],[44104.67023393],[1.95823252],[-1.86291278],[-0.18629128]
764,764,[3670.40815978],[-0.00841586],[44073.78086303],[1.95976678],[-1.86326012],[-0.18632601]
765,765,[3663.08936444],[-0.00842703],[44042.89158994],[1.96111734],[-1.8635791],[-0.18635791]
766,766,[3655.74899071],[-0.00843329],[44012.02300198],[1.96226881],[-1.86386764],[-0.18638676]
767,767,[3648.38898358],[-0.0084353],[43981.1933677],[1.96320955],[-1.86412422],[-0.18641242]
768,768,[3641.01140441],[-0.00843375],[43950.41846394],[1.96393173],[-1.86434788],[-0.18643479]
769,769,[3633.61839374],[-0.00842935],[43919.71144903],[1.96443131],[-1.86453819],[-0.18645382]
770,770,[3626.21213424],[-0.00842283],[43889.08278276],[1.96470793],[-1.86469528],[-0.18646953]
771,771,[3618.79481463],[-0.00841492],[43858.54019208],[1.96476475],[-1.86481975],[-0.18648197]
772,772,[3611.36859515],[-0.00840636],[43828.08868134],[1.96460823],[-1.86491267],[-0.18649127]
773,773,[3603.93557502],[-0.00839784],[43797.73058485],[1.96424789],[-1.86497556],[-0.18649756]
774,774,[3596.49776252],[-0.00839005],[43767.46565878],[1.96369597],[-1.8650103],[-0.18650103]
775,775,[3589.05704807],[-0.00838363],[43737.29120919],[1.96296712],[-1.86501911],[-0.18650191]
776,776,[3581.6151806],[-0.00837915],[43707.20225215],[1.96207801],[-1.86500451],[-0.18650045]
777,777,[3574.17374748],[-0.00837717],[43677.19170181],[1.96104696],[-1.86496921],[-0.18649692]
778,778,[3566.73415813],[-0.00837816],[43647.25058177],[1.95989354],[-1.86491613],[-0.18649161]
779,779,[3559.29763149],[-0.00838253],[43617.36825519],[1.95863821],[-1.8648483],[-0.18648483]
780,780,[3551.86518719],[-0.00839064],[43587.53266882],[1.95730193],[-1.86476879],[-0.18647688]
781,781,[3544.43764048],[-0.00840275],[43557.73060637],[1.95590578],[-1.86468073],[-0.18646807]
782,782,[3537.01560067],[-0.00841907],[43527.94794645],[1.95447063],[-1.86458718],[-0.18645872]
783,783,[3529.59947296],[-0.00843974],[43498.16992089],[1.95301684],[-1.86449114],[-0.18644911]
784,784,[3522.18946337],[-0.00846483],[43468.3813693],[1.95156393],[-1.86439548],[-0.18643955]
785,785,[3514.78558657],[-0.00849434],[43438.56698596],[1.95013037],[-1.8643029],[-0.18643029]
786,786,[3507.38767611],[-0.00852821],[43408.71155574],[1.94873333],[-1.86421594],[-0.18642159]
787,787,[3499.99539702],[-0.00856632],[43378.80017599],[1.94738848],[-1.86413689],[-0.18641369]
788,788,[3492.60826018],[-0.0086085],[43348.81846168],[1.94610985],[-1.86406781],[-0.18640678]
789,789,[3485.22563825],[-0.00865451],[43318.75273171],[1.94490973],[-1.86401048],[-0.18640105]
790,790,[3477.84678282],[-0.00870411],[43288.59017447],[1.94379854],[-1.86396642],[-0.18639664]
791,791,[3470.47084244],[-0.00875699],[43258.31899145],[1.94278479],[-1.86393687],[-0.18639369]
792,792,[3463.09688116],[-0.0088128],[43227.92851776],[1.94187508],[-1.86392277],[-0.18639228]
793,793,[3455.72389738],[-0.00887121],[43197.40931917],[1.94107409],[-1.86392476],[-0.18639248]
794,794,[3448.35084262],[-0.00893183],[43166.75326534],[1.94038459],[-1.86394321],[-0.18639432]
795,795,[3440.97664],[-0.00899429],[43135.95357959],[1.93980754],[-1.86397824],[-0.18639782]
796,796,[3433.60020221],[-0.00905818],[43105.00486552],[1.93934214],[-1.86402965],[-0.18640297]
797,797,[3426.22044863],[-0.00912313],[43073.90311141],[1.93898593],[-1.86409705],[-0.18640971]
798,798,[3418.83632155],[-0.00918876],[43042.64567344],[1.93873495],[-1.86417979],[-0.18641798]
799,799,[3411.44680118],[-0.0092547],[43011.23123911],[1.93858383],[-1.86427704],[-0.1864277]
800,800,[3404.05091938],[-0.0093206],[42979.65977232],[1.93852595],[-1.86438775],[-0.18643877]
801,801,[3396.64777186],[-0.00938613],[42947.93244192],[1.93855362],[-1.86451074],[-0.18645107]
802,802,[3389.23652896],[-0.00945099],[42916.05153558],[1.93865822],[-1.86464471],[-0.18646447]
803,803,[3381.81644463],[-0.00951492],[42884.02036102],[1.93883042],[-1.86478823],[-0.18647882]
